"","Taxon","TaxonID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Hybrid","Subspecies","Variety","Source","CatalogueN","Collector","CollectionDate","Latitude","Longitude","Geo_Ref","PositionalAccuracy","Geoprivacy","PrivateLatitude","PrivateLongitude","Prov_State","Region","Location","LocationDescription","HabitatRemarks","Origin","Provincial.Status","National.Status"
"74","Lamium galeobdolon ssp. argentatum",707386,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium","galeobdolon","","argentatum","","iNaturalist",125681210,"Kevin Toomer","2022-07-10",48.873336,-123.346591,NA,43,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"13874","Crocus × stellaris",487126,"Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Crocus","","Crocus × stellaris","","","iNaturalist",38469122,"","2020-02-08",48.8955265652,-123.4103350063,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"13875","Crocus × stellaris",487126,"Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Crocus","","Crocus × stellaris","","","iNaturalist",70515530,"Sierra Rempel","2021-02-26",48.89565,-123.4103466667,NA,19,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"18119","Geranium × oxonianum",450392,"Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium","","Geranium × oxonianum","","","iNaturalist",85291250,"Andrew Simon","2021-07-01",48.8726782252,-123.3489450745,NA,15,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19572","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",6047517,"Andrew Simon","2017-04-30",48.8927124705,-123.3911526203,NA,24,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19573","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",6425084,"Andrew Simon","2017-05-19",48.8720823,-123.3122892,NA,192,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19574","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",24701576,"Jason Headley","2019-05-04",48.8724116667,-123.3115416667,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19575","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",24713780,"Katie Kushneryk","2019-05-04",48.8717739517,-123.3108738532,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19576","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",24768192,"Andrew Simon","2019-04-29",48.86805,-123.3871716667,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19577","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",24768193,"Andrew Simon","2019-04-29",48.8680566667,-123.3871616667,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
