"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"Lontra canadensis",41777,"Lontra canadensis",NA,"Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Carnivora","","","","Mustelidae","Lutrinae","","Lontra","canadensis","iNat:730361",48.920064,-123.450907,"2014-06-10",NA,NA,"Andrew Simon","false","research",14
"Phoca vitulina richardii",117766,"Phoca vitulina richardii",NA,"Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Carnivora","","","Phocoidea","Phocidae","","","Phoca","vitulina","iNat:731418",48.904573,-123.417234,"2014-05-20",NA,NA,"Andrew Simon","false","research",174
"Cancer productus",47826,"Cancer productus",NA,"Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Brachyura","Cancroidea","Cancridae","","","Cancer","productus","iNat:2026014",48.929391,-123.475986,"2015-08-28",NA,NA,"Andrew Simon","false","research",174
"Pisaster ochraceus",49699,"Pisaster ochraceus",NA,"Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","","Asteriidae","","","Pisaster","ochraceus","iNat:2423347",48.870474,-123.31295,"2013-10-13",NA,NA,"Bridget Spencer","false","research",349
"Phoca vitulina",41708,"Phoca vitulina",NA,"Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Carnivora","","","Phocoidea","Phocidae","","","Phoca","vitulina","iNat:2565228",48.931184,-123.481178,"2015-02-12",NA,NA,"Lauren Magner","false","research",27
"Littorina",48919,"Littorina",NA,"Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","","Littorinoidea","Littorinidae","Littorininae","","Littorina","","iNat:2565480",48.929718,-123.474655,"2015-02-12",NA,NA,"Lauren Magner","false","needs_id",698
"Dermasterias imbricata",63382,"Dermasterias imbricata",NA,"Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","","Asteropseidae","","","Dermasterias","imbricata","iNat:2565768",48.924078,-123.462381,"2015-02-12",NA,NA,"Lauren Magner","false","research",174
"Littorina scutulata",69995,"Littorina scutulata",NA,"Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","","Littorinoidea","Littorinidae","Littorininae","","Littorina","scutulata","iNat:2566456",48.92983,-123.475685,"2015-03-04",NA,NA,"Andrew Simon","false","research",174
"Nucella lamellosa",117641,"Nucella lamellosa",NA,"Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","","Muricoidea","Muricidae","Ocenebrinae","","Nucella","lamellosa","iNat:2567596",48.929515,-123.475685,"2015-04-04",NA,NA,"Andrew Simon","false","research",148
"Anthopleura elegantissima",52564,"Anthopleura elegantissima",NA,"Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","","Actinioidea","Actiniidae","","","Anthopleura","elegantissima","iNat:2580645",48.93,-123.475857,"2015-08-28",NA,NA,"Andrew Simon","false","research",174
