"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"Myxomycetes",47684,"Myxomycetes",NA,"Protozoa","Mycetozoa","","","Myxomycetes","","","","","","","","","","","","iNat:2566327",48.931184,-123.480921,"2015-03-04",NA,NA,"Andrew Simon","false","needs_id",174
"Trichiales",56259,"Trichiales",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales","","","","","","","","","iNat:2829467",48.897994,-123.342431,"2016-03-25",NA,NA,"","false","needs_id",NA
"Fuligo septica",55483,"Fuligo septica",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Fuligo","septica","iNat:3505716",48.871137,-123.32108,"2016-06-22",NA,NA,"Andrew Simon","false","research",21
"Fuligo septica",55483,"Fuligo septica",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Fuligo","septica","iNat:3651611",48.932833,-123.484537,"2016-07-08",NA,NA,"Adam Huggins","false","research",NA
"Stemonitis",53841,"Stemonitis",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales","","","","Stemonitidaceae","","","Stemonitis","","iNat:3971483",48.913265,-123.391153,"2016-08-26",NA,NA,"Andrew Simon","false","needs_id",61
"Myxomycetes",47684,"Myxomycetes",NA,"Protozoa","Mycetozoa","","","Myxomycetes","","","","","","","","","","","","iNat:4631923",48.897525,-123.340163,"2016-11-11",NA,NA,"","false","needs_id",NA
"Myxomycetes",47684,"Myxomycetes",NA,"Protozoa","Mycetozoa","","","Myxomycetes","","","","","","","","","","","","iNat:4661499",48.868839,-123.346256,"2016-11-29",NA,NA,"Lauren Magner","false","needs_id",43
"Ceratiomyxa fruticulosa",56252,"Ceratiomyxa fruticulosa",NA,"Protozoa","Mycetozoa","","","Ceratiomyxomycetes","","","Ceratiomyxales","","","","Ceratiomyxaceae","","","Ceratiomyxa","fruticulosa","iNat:6413749",48.902714,-123.361895,"2017-05-23",NA,NA,"Andrew Simon","false","research",106
"Physarum viride",383670,"Physarum viride",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Physarum","viride","iNat:6571618",48.976809,-123.549328,"2017-05-27",NA,NA,"Galiano observer","false","research",293
"Ceratiomyxa fruticulosa",56252,"Ceratiomyxa fruticulosa",NA,"Protozoa","Mycetozoa","","","Ceratiomyxomycetes","","","Ceratiomyxales","","","","Ceratiomyxaceae","","","Ceratiomyxa","fruticulosa","iNat:7150082",48.976048,-123.548985,"2017-05-27",NA,NA,"Galiano observer","false","research",272
"Arcyria incarnata",381271,"Arcyria incarnata",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales","","","","Arcyriaceae","","","Arcyria","incarnata","iNat:7150085",48.976048,-123.548985,"2017-05-27",NA,NA,"Galiano observer","false","research",272
"Metatrichia floriformis",126277,"Metatrichia floriformis",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales","","","","Trichiaceae","","","Metatrichia","floriformis","iNat:7150087",48.980903,-123.554361,"2017-05-27",NA,NA,"Galiano observer","false","research",427
"Stemonitis fusca",126279,"Stemonitis fusca",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales","","","","Stemonitidaceae","","","Stemonitis","fusca","iNat:7150093",48.976161,-123.548813,"2017-05-27",NA,NA,"Galiano observer","false","research",291
"Arcyria obvelata",146745,"Arcyria obvelata",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales","","","","Arcyriaceae","","","Arcyria","obvelata","iNat:7626272",48.88759,-123.378924,"2017-07-07",NA,NA,"","false","research",21
"Stemonitis fusca",126279,"Stemonitis fusca",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales","","","","Stemonitidaceae","","","Stemonitis","fusca","iNat:8828854",48.87056,-123.387666,"2017-08-07",NA,NA,"Tyson Ehlers","false","research",4
"Physaraceae",55485,"Physaraceae",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","","","iNat:9056076",48.874772,-123.336372,"2017-12-05",NA,NA,"Kevin Toomer","false","needs_id",NA
"Badhamia utricularis",56264,"Badhamia utricularis",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Badhamia","utricularis","iNat:9475067",48.872398,-123.346703,"2018-01-14",NA,NA,"Kevin Toomer","false","research",NA
"Stemonitis",53841,"Stemonitis",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales","","","","Stemonitidaceae","","","Stemonitis","","iNat:12618316",48.871467,-123.346489,"2018-05-17",NA,NA,"Kevin Toomer","false","needs_id",NA
"Stemonitis",53841,"Stemonitis",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales","","","","Stemonitidaceae","","","Stemonitis","","iNat:12649282",48.871608,-123.346619,"2018-05-20",NA,NA,"Kevin Toomer","false","needs_id",NA
"Fuligo septica",55483,"Fuligo septica",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Fuligo","septica","iNat:16149055",48.875286,-123.339675,"2018-08-23",NA,NA,"Kevin Toomer","false","research",NA
"Fuligo septica",55483,"Fuligo septica",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Fuligo","septica","iNat:16363466",48.876675,-123.334847,"2018-09-09",NA,NA,"Kevin Toomer","false","research",NA
"Fuligo septica",55483,"Fuligo septica",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Fuligo","septica","iNat:17217968",48.871319,-123.340697,"2018-09-24",NA,NA,"Kevin Toomer","false","research",NA
"Myxomycetes",47684,"Myxomycetes",NA,"Protozoa","Mycetozoa","","","Myxomycetes","","","","","","","","","","","","iNat:17442585",48.874042,-123.342078,"2018-10-12",NA,NA,"Kevin Toomer","false","needs_id",NA
"Ceratiomyxa fruticulosa",56252,"Ceratiomyxa fruticulosa",NA,"Protozoa","Mycetozoa","","","Ceratiomyxomycetes","","","Ceratiomyxales","","","","Ceratiomyxaceae","","","Ceratiomyxa","fruticulosa","iNat:17785403",48.872989,-123.341897,"2018-10-21",NA,NA,"Andrew Simon","false","research",174
"Fuligo septica",55483,"Fuligo septica",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","Physaraceae","","","Fuligo","septica","iNat:17906057",48.933262,-123.484537,"2018-10-22",NA,NA,"Adam Huggins","false","research",10
"Physarales",55484,"Physarales",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Columellomycetidae","Stemonitidia","Physarales","","","","","","","","","iNat:18364199",48.92815,-123.467797,"2018-11-04",NA,NA,"Adam Huggins","false","needs_id",16153
"Trichiales",56259,"Trichiales",NA,"Protozoa","Mycetozoa","","","Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales","","","","","","","","","iNat:18479745",48.879697,-123.340531,"2018-11-18",NA,NA,"Kevin Toomer","false","needs_id",NA
"Ceratiomyxa fruticulosa",56252,"Ceratiomyxa fruticulosa",NA,"Protozoa","Mycetozoa","","","Ceratiomyxomycetes","","","Ceratiomyxales","","","","Ceratiomyxaceae","","","Ceratiomyxa","fruticulosa","iNat:24567794",48.880638,-123.329735,"2019-05-04",NA,NA,"Emma Harrower","false","research",NA
"Ceratiomyxa fruticulosa",56252,"Ceratiomyxa fruticulosa",NA,"Protozoa","Mycetozoa","","","Ceratiomyxomycetes","","","Ceratiomyxales","","","","Ceratiomyxaceae","","","Ceratiomyxa","fruticulosa","iNat:24652334",48.984631,-123.558988,"2019-05-04",NA,NA,"","false","research",100
